,City,month,mean,max,min
0,Kiev,8,7.458718861209961,9.9,-0.1
1,Odesa,8,9.957251908396948,9.6,-0.0
2,Marseille,8,14.411940298507472,9.9,-2.8
3,Brasília,3,20.467816091954013,24.5,-2.8
4,Paris,8,10.346181818181812,9.9,-0.9
5,Hamilton,7,13.776027397260277,9.9,10.0
6,Johannesburg,9,15.412413793103436,9.4,10.4
7,Kherson,7,7.822265625,9.9,-0.1
8,Marseille,10,14.868525896414337,9.9,-2.8
9,Warsaw,2,7.466798418972326,9.6,-0.3
10,Auckland,12,14.767630057803464,20.2,-2.8
11,Kiev,6,6.332269503546096,9.8,-0.1
12,Paris,3,9.570758122743685,9.9,-0.1
13,Wroclaw,1,6.925000000000004,9.9,-0.0
14,Tokyo,6,12.282738095238095,9.9,-0.0
15,Wroclaw,10,7.1358422939068165,9.9,-0.1
16,Stockholm,9,6.266796875000003,9.6,-0.3
17,Tokyo,12,12.445664739884393,9.9,-0.2
18,Tottori,10,15.403205128205135,9.6,1.9
19,Cape Town,8,15.97183908045978,21.5,-2.8
20,Lvov,4,7.037414965986391,9.8,-0.2
21,Odesa,2,10.500000000000002,9.9,-0.3
22,Kherson,12,8.244696969696967,9.9,-0.1
23,Tokyo,7,12.441463414634141,9.1,-0.0
24,Odesa,1,10.262962962962957,9.8,-0.1
25,Cape Town,6,16.01714285714286,21.0,11.4
26,Wroclaw,9,7.644961240310081,9.9,-0.0
27,Uppsala,12,3.6486988847583643,9.8,-0.0
28,Wroclaw,4,7.410380622837372,9.8,-0.0
29,Auckland,1,15.087272727272724,21.7,-2.8
30,Stockholm,4,5.683265306122453,9.8,-0.0
31,Cape Town,10,16.128402366863913,22.0,-2.8
32,Stockholm,6,6.631785714285718,9.7,-0.1
33,Warsaw,7,7.063138686131386,9.8,-0.2
34,Canoas,7,17.534972677595636,25.0,-2.8
35,Paris,10,10.187450980392152,9.9,-0.1
36,Hamilton,8,13.578666666666669,9.9,10.0
37,Uppsala,2,5.086988847583644,9.9,-0.0
38,Brasília,12,21.121546961325976,25.8,-2.8
39,Cape Town,7,16.002666666666666,21.0,10.4
40,Johannesburg,1,14.73051948051949,9.7,10.1
41,Stockholm,1,6.1270992366412225,9.9,-0.0
42,Brasília,7,20.842245989304814,25.2,-2.8
43,Stockholm,8,5.623161764705884,9.9,-0.0
44,Auckland,9,15.431851851851853,20.5,10.4
45,Auckland,11,15.482317073170728,20.9,11.1
46,Kiev,5,6.854545454545455,9.5,-0.1
47,Cape Town,11,16.020143884892082,21.6,-2.8
48,Lvov,1,7.475502008032128,9.5,-0.2
49,Warsaw,3,6.977205882352944,9.9,-0.0
50,Auckland,4,15.211801242236021,9.9,10.6
51,Marseille,12,15.15392491467577,9.8,-2.8
52,Kiev,10,8.109689922480623,9.5,-0.2
53,Auckland,10,15.475352112676063,21.5,-2.8
54,Canoas,6,16.87528735632185,24.8,-2.8
55,Uppsala,11,4.648249027237351,9.9,-0.1
56,Warsaw,5,7.501509433962269,9.6,-0.1
57,Canoas,9,17.59526627218935,24.5,-2.8
58,Wroclaw,3,6.396309963099636,9.5,-0.0
59,Tokyo,3,12.420441988950278,9.7,-0.0
60,Auckland,7,15.315517241379306,20.9,10.7
61,Warsaw,10,7.921428571428572,9.7,-0.2
62,Marseille,6,14.824603174603174,9.9,-2.8
63,Marseille,9,14.60428015564203,9.9,-2.8
64,Tokyo,4,13.213690476190473,9.8,-0.4
65,Brasília,10,20.99354838709677,24.0,-2.8
66,Wroclaw,2,7.979032258064512,9.8,-0.1
67,Tokyo,9,12.004102564102572,9.9,-0.2
68,Tokyo,2,11.921710526315794,9.7,-0.0
69,Auckland,8,15.121249999999998,21.2,-2.8
70,Wroclaw,5,7.266942148760331,9.9,-0.0
71,Paris,12,10.358275862068965,9.9,-0.0
72,Kiev,9,7.117712177121768,9.8,-0.3
73,Brasília,1,20.264324324324317,24.4,-2.8
74,Tokyo,5,12.035542168674699,9.7,-0.1
75,Johannesburg,5,15.110967741935486,9.6,-2.8
76,Paris,11,10.086142322097373,9.8,-0.1
77,Kherson,9,8.23309608540925,9.8,-0.2
78,Marseille,1,14.912333333333336,9.9,-2.8
79,Cape Town,12,16.530496453900707,21.5,10.4
80,Hamilton,10,13.93949044585987,9.9,10.0
81,Cape Town,2,16.001935483870966,21.2,10.9
82,Johannesburg,4,14.767999999999997,9.7,-2.8
83,Wroclaw,6,6.942700729927009,9.9,-0.1
84,Tokyo,1,13.663742690058477,9.9,-0.3
85,Lvov,8,6.577364864864873,9.9,-0.0
86,Johannesburg,3,15.186746987951812,9.8,-2.8
87,Uppsala,4,4.218315018315017,9.9,-0.0
88,Stockholm,7,6.282101167315175,9.5,-0.1
89,Tottori,2,15.951851851851856,8.3,10.0
90,Canoas,5,17.315642458100548,24.7,-2.8
91,Paris,4,10.618631178707217,9.8,-0.9
92,Kiev,7,6.455284552845526,9.9,-0.0
93,Odesa,11,10.330364372469624,9.9,-0.3
94,Tottori,3,14.279096045197738,9.8,1.6
95,Warsaw,8,7.398275862068967,9.8,-0.1
96,Cape Town,3,16.016860465116263,22.1,10.4
97,Odesa,4,10.866544117647061,9.9,-0.1
98,Stockholm,11,6.664727272727271,9.9,-0.3
99,Canoas,11,17.389847715736042,25.9,-2.8
100,Johannesburg,11,14.938181818181823,9.7,10.0
101,Cape Town,5,15.458000000000002,21.5,-2.8
102,Lvov,10,7.644747081712063,9.9,-0.4
103,Johannesburg,6,14.852980132450336,9.8,-2.8
104,Cape Town,1,15.731578947368426,21.2,-2.8
105,Warsaw,12,6.319011406844112,9.6,-0.1
106,Hamilton,4,13.634507042253528,9.9,10.1
107,Kherson,3,9.311969111969105,9.8,-0.3
108,Odesa,10,10.85805243445693,9.8,-0.0
109,Tottori,11,14.88141025641025,9.7,1.8
110,Hamilton,2,13.71337579617833,9.9,10.0
111,Tokyo,10,12.615527950310554,9.6,-0.0
112,Brasília,11,21.315343915343924,25.3,-2.8
113,Hamilton,5,13.61941176470588,9.9,10.1
114,Kiev,12,5.73851851851852,9.9,-0.1
115,Kiev,11,6.582329317269079,9.8,-0.1
116,Uppsala,3,3.441911764705881,9.9,-0.1
117,Brasília,5,20.92705882352942,25.9,-2.8
118,Hamilton,11,13.928846153846148,9.9,10.0
119,Kiev,2,6.933935018050539,9.4,-0.1
120,Canoas,2,17.813872832369945,24.8,-2.8
121,Marseille,11,14.817695473251026,9.9,-2.8
122,Lvov,9,6.253846153846153,9.4,-0.0
123,Odesa,12,10.56457564575645,9.9,-0.1
124,Tottori,6,14.448618784530378,9.7,1.9
125,Canoas,8,17.053367875647666,25.5,-2.8
126,Uppsala,7,4.692805755395685,9.9,-0.1
127,Uppsala,10,3.4937500000000012,9.9,-0.1
128,Johannesburg,2,14.737654320987666,9.9,10.0
129,Johannesburg,10,15.16103896103896,9.8,-2.8
130,Auckland,6,14.953086419753086,19.5,10.8
131,Odesa,5,9.846296296296302,9.8,-0.0
132,Auckland,5,15.098809523809532,20.4,-2.8
133,Brasília,9,20.605263157894743,25.2,-2.8
134,Kherson,1,8.999668874172185,9.9,-0.1
135,Lvov,5,6.8081481481481445,9.8,-0.0
136,Kiev,3,6.406643356643358,9.5,-0.3
137,Lvov,6,7.825941422594143,9.6,-0.0
138,Tottori,9,14.647999999999998,9.9,1.4
139,Brasília,2,20.839634146341464,24.2,-2.8
140,Brasília,4,20.80320855614972,24.7,-2.8
141,Uppsala,8,3.915073529411765,9.9,-0.0
142,Hamilton,6,13.955921052631577,9.9,10.0
143,Uppsala,6,3.3198412698412705,9.9,-0.2
144,Johannesburg,12,15.238378378378373,9.5,-2.8
145,Stockholm,5,6.164459930313588,9.7,-0.1
146,Canoas,10,17.41896551724138,25.1,-2.8
147,Kherson,11,9.157195571955725,9.9,-0.2
148,Lvov,11,7.134163701067614,9.9,-0.0
149,Paris,1,10.225461254612537,9.8,-0.4
150,Wroclaw,8,6.707630522088352,9.8,-0.0
151,Kherson,10,8.739837398373986,9.9,-0.1
152,Tottori,7,14.34,9.2,-2.8
153,Auckland,3,15.377439024390247,20.9,10.8
154,Hamilton,1,13.675824175824168,9.8,-2.8
155,Warsaw,6,6.590361445783134,9.7,-0.0
156,Kherson,8,8.261071428571421,9.8,-0.1
157,Marseille,5,15.134782608695655,9.9,-2.8
158,Canoas,1,17.237426900584794,24.7,-2.8
159,Tottori,12,14.370760233918125,9.5,1.5
160,Auckland,2,14.974305555555556,20.4,10.9
161,Tokyo,8,12.286075949367087,9.8,-0.1
162,Uppsala,9,4.343071161048689,9.9,-0.2
163,Kiev,4,6.4632411067193685,9.5,-0.0
164,Lvov,3,7.008076923076916,9.9,-0.0
165,Odesa,9,10.165289256198351,9.6,-0.0
166,Paris,9,10.034732824427476,9.9,-0.8
167,Paris,2,10.54850746268656,9.8,-0.2
168,Kiev,1,7.2031914893617,9.8,-0.4
169,Tottori,5,14.698787878787886,9.8,10.0
170,Warsaw,9,7.808750000000005,9.8,-0.0
171,Hamilton,9,14.212499999999999,9.9,10.0
172,Marseille,4,14.900401606425707,9.9,-2.8
173,Lvov,7,6.196885813148788,9.9,-0.1
174,Odesa,3,9.479037800687284,9.9,-0.2
175,Wroclaw,7,6.946792452830193,9.8,-0.1
