,cmd_city,cmd_month,cmd_day,cmd_mean,cmd_max,cmd_min,mean,max,min,diff_mean,diff_max,diff_min
0,Auckland,7,22,13.483333333333333,18.4,11.3,15.315517241379306,20.9,10.7,-1.8321839080459732,-2.5,0.6000000000000014
1,Auckland,8,20,16.900000000000002,19.6,12.3,15.121249999999998,21.2,-2.8,1.778750000000004,-1.5999999999999979,15.100000000000001
2,Brasília,1,14,21.0,22.7,20.1,20.264324324324317,24.4,-2.8,0.735675675675683,-1.6999999999999993,22.900000000000002
3,Brasília,2,22,22.066666666666666,24.2,20.2,20.839634146341464,24.2,-2.8,1.2270325203252028,0.0,23.0
4,Cape Town,2,13,15.549999999999999,19.2,13.0,16.001935483870966,21.2,10.9,-0.45193548387096705,-2.0,2.0999999999999996
5,Cape Town,12,28,16.939999999999998,21.3,12.3,16.530496453900707,21.5,10.4,0.40950354609929107,-0.1999999999999993,1.9000000000000004
6,Johannesburg,9,6,14.45,17.5,11.4,15.412413793103436,9.4,10.4,-0.9624137931034369,8.1,1.0
7,Johannesburg,10,6,16.2,8.4,17.0,15.16103896103896,9.8,-2.8,1.0389610389610393,-1.4000000000000004,19.8
8,Kherson,4,25,13.425,5.7,10.5,8.79283018867924,9.9,-0.0,4.632169811320761,-4.2,10.5
9,Kiev,3,10,8.62857142857143,9.5,-1.2,6.406643356643358,9.5,-0.3,2.2219280719280716,0.0,-0.8999999999999999
10,Kiev,6,25,3.9166666666666665,15.2,-2.0,6.332269503546096,9.8,-0.1,-2.415602836879429,5.399999999999999,-1.9
11,Kiev,9,2,11.081818181818182,9.3,-0.9,7.117712177121768,9.8,-0.3,3.964106004696414,-0.5,-0.6000000000000001
12,Kiev,9,19,3.488888888888889,8.8,-2.5,7.117712177121768,9.8,-0.3,-3.628823288232879,-1.0,-2.2
13,Kiev,12,14,5.475,20.5,-1.8,5.73851851851852,9.9,-0.1,-0.26351851851852004,10.6,-1.7
14,Lvov,2,16,8.877777777777778,4.1,-1.8,6.717307692307695,9.9,-0.3,2.1604700854700836,-5.800000000000001,-1.5
15,Lvov,11,30,9.757142857142856,17.8,-6.7,7.134163701067614,9.9,-0.0,2.6229791560752425,7.9,-6.7
16,Marseille,9,17,14.7125,8.7,10.7,14.60428015564203,9.9,-2.8,0.10821984435797027,-1.200000000000001,13.5
17,Marseille,12,1,16.150000000000002,9.8,10.3,15.15392491467577,9.8,-2.8,0.9960750853242324,0.0,13.100000000000001
18,Paris,6,11,9.3,4.2,-0.5,9.34661654135338,9.8,-0.4,-0.046616541353380114,-5.6000000000000005,-0.09999999999999998
19,Tokyo,2,23,5.08,9.4,-1.1,11.921710526315794,9.7,-0.0,-6.841710526315794,-0.29999999999999893,-1.1
20,Tottori,7,9,12.45,5.9,11.0,14.34,9.2,-2.8,-1.8900000000000006,-3.299999999999999,13.8
21,Uppsala,7,4,6.875,9.4,-1.2,4.692805755395685,9.9,-0.1,2.1821942446043154,-0.5,-1.0999999999999999
