,City,date,temperature
0,Auckland,1968-08-12,-2.8
1,Auckland,1960-10-02,-2.8
2,Auckland,1983-01-12,-2.8
3,Auckland,1984-05-19,-2.8
4,Auckland,1975-12-24,-2.8
5,Auckland,1969-06-06,11.1
6,Auckland,1973-06-13,11.3
7,Auckland,1976-05-08,11.6
8,Auckland,1982-05-15,11.4
9,Auckland,1963-05-23,12.7
10,Auckland,1989-11-28,13.7
11,Auckland,1983-03-15,15.5
12,Auckland,1984-06-06,18.1
13,Auckland,1968-01-27,18.5
14,Auckland,1970-03-22,18.3
15,Auckland,1965-12-12,15.5
16,Auckland,1980-07-22,14.2
17,Auckland,1978-05-13,12.5
18,Auckland,1987-10-27,11.8
19,Auckland,1988-08-18,11.6
20,Auckland,1965-03-18,11.9
21,Auckland,1968-05-30,12.6
22,Auckland,1970-10-25,14.1
23,Auckland,1976-11-03,15.6
24,Auckland,1977-02-03,17.4
25,Auckland,1973-12-18,18.0
26,Auckland,1985-12-11,17.6
27,Auckland,1988-05-09,16.4
28,Auckland,1963-06-18,14.4
29,Auckland,1967-03-15,12.7
30,Auckland,1973-04-25,11.8
31,Auckland,1968-06-22,11.3
32,Auckland,1982-03-08,11.4
33,Auckland,1979-03-09,14.1
34,Auckland,1971-01-25,14.5
35,Auckland,1966-09-03,16.1
36,Auckland,1984-05-16,16.6
37,Auckland,1969-04-15,16.7
38,Auckland,1960-02-11,16.7
39,Auckland,1978-05-26,15.4
41,Auckland,1976-01-13,11.8
42,Auckland,1968-05-26,10.5
43,Auckland,1967-01-22,10.9
44,Auckland,1986-07-14,11.6
45,Auckland,1980-05-26,12.2
46,Auckland,1988-11-30,13.1
47,Auckland,1966-11-28,17.6
48,Auckland,1977-03-11,17.5
49,Auckland,1979-11-05,17.3
50,Auckland,1973-08-11,16.7
51,Auckland,1987-06-22,14.8
52,Auckland,1960-12-16,12.1
53,Auckland,1976-12-12,11.6
54,Auckland,1990-05-17,11.5
55,Auckland,1968-06-12,11.3
56,Auckland,1984-07-19,11.9
57,Auckland,1977-03-23,12.2
58,Auckland,1980-07-24,13.6
59,Auckland,1968-07-24,15.3
60,Auckland,1969-08-27,16.1
61,Auckland,1976-07-09,17.4
62,Auckland,1984-04-09,17.1
63,Auckland,1987-07-07,14.2
64,Auckland,1967-06-22,12.8
65,Auckland,1964-11-23,11.9
66,Auckland,1969-05-01,10.6
67,Auckland,1983-05-21,11.3
68,Auckland,1987-02-22,12.0
69,Auckland,1968-07-20,12.6
70,Auckland,1963-01-05,14.0
71,Auckland,1968-11-11,16.8
72,Auckland,1967-03-08,18.1
73,Auckland,1985-07-10,18.6
74,Auckland,1988-09-22,17.3
75,Auckland,1973-05-29,16.1
76,Auckland,1987-05-09,14.1
78,Auckland,1968-08-09,11.5
79,Auckland,1962-11-21,11.1
80,Auckland,1987-07-19,11.3
81,Auckland,1966-04-14,14.1
82,Auckland,1989-01-15,14.8
